name,organization,teacher,level,subject,language,long_in_hours,is_complete,rating,date_complete,link,notes
30 Days to Learn HTML and CSS,envato - TutsPlus,�Jeffrey Way,_____,"HTML , CSS ______ ___",English,5h,_____,10,2016,https://webdesign.tutsplus.com/courses/30-days-to-learn-html-css ,"____ ____ _____ _ ____ ______ _____ 960 _________ _____"
learning how to learn ,"Coursera  - University of California, San Diego",Barbara Oakley,____ _________,______ ______ _______ ________,English __ _____ ____,3h,_____,10,2/4/17,https://www.coursera.org/learn/learning-how-to-learn ,
Mikrotik networking  _____ _____ ___________,____ ___ ________,_. ____ _________, _____- _____,"______ _________",____, 20h,_____,9,10/4/17,,___ ______
C# ____ ________ ,Youtube.com/khaledelsadnni,____ ________, _____- _____,C# __ ____,____,"16h, 33m",_____,9,8/1/18,https://www.youtube.com/playlist?list=PLwj1YcMhLRN24KqNI0xQrNscBfLnYeJpL,
C# Beginners Tutorials,youtube.com/thenewboston,Adam,_____,C# __ ____,English,"17h, 26m",_____,7,__ _____ ___,https://www.youtube.com/playlist?list=PL0EE421AE8BCEBA4A,
Start with a Theme Magazine Styles in WordPress,Lynda.com,Morten Rand-Hendriksen,_____,WordPress,English ,,_____,8,4/23/18,__ ___ ___ ______ ______ ___ ______ ______,______ ____ 2012 ____ __ _______ __ ______ ______ ___ __ _____ _ _______ __________ _____ _____ ____ _______
php with mysql essential training ,Lynda.com,Kevin Skoglund,_____ - _____,"PHP, MySQL, CMS",English,10.75h,_____,8,2018,__ ___ ___ ______ ______ ___ ______ ______,__ _____ ______ _______ _______ php with mysqli essential training part1 and part 2  ___ _______ _________ _____
_____ ______ ______,____ _________,"____ _______ _______ _______ ____ ______",_____,"_____ ______ (_______ +_______)_ _____ __ ____________",____,70h,_____,7,8/1/16,`,___ ______
PHP Fundementals,Tuts plus (envato) ,Jeffery Way,_____ - _____,PHP fundementals,English,9.8h,_____,8,30/11/2018,__ ___ ___ ______ ______ ___ ______ ______,______ ___ ___ ____ __ _____ ___ ____ ____ ___ _________
PHP for Beginners - Become a PHP Master - CMS Project,Udemy,Edwin Diaz,_____ - _____,php (fundementals + CMS project),English,38h,_____,8,27/2/2019,https://www.udemy.com/php-for-complete-beginners-includes-msql-object-oriented/,"______ ___ _____ ____ _____ ______ __ _______ ____ ____ __ ______ __ _____ _____ ____ _______ _____ ___ ___ ________ _____ _________.  ______ __ ______ __ _____ ____ _____ _______(CMS) ______ ______ __ ________. _____ ___ ____ _______ ___ _____ __ ________ "
_____ ____ WordPress,Youtube,Elzero Web School, _____- _____,WordPress (Using + development) ,____,16.5,___ _____ _____ ______ ____ _____ ______ __ ______,9,15/10/2019,https://www.youtube.com/playlist?list=PLDoPjvoNmBAwCNR-UIRft5YuVlZKrYh20,"____ ____ ____ _____ __ _____ _____ _____ ____ ____ ____ ___ ______ _____ ______"
CS50,Edx - Harvard,David Malan and others,_____ - _____,"Programmer Mindeset , Scratch, C, PHP or Python, SQL and JS",English,~60h,_____ ____ ___ __ ___ ____ ____ _____,__,__ _____ ___,https://www.edx.org/course/cs50s-introduction-computer-science-harvardx-cs50x," ____ ___ ___ ____ ____ ____ _____ _____ ___ _____ ___ __ ___ ____ ______ ___ ____. ___ __ ________ _____ ____ _______ _____ ___ _______ ______"
Make a Google search engine clone: JavaScript PHP and MySQL,Udemy,Reece Kenney,_____- _____,"PHP, HTML, CSS, JavaScript, MySQL, masnory js and fancybox js ",English,6h,_____,10,______, https://www.udemy.com/google-search-engine-clone/,___ _________ ______ ___ _______ _______ _php _ javascript
PHP with MySQL Essential Training: 1 The Basics,lynda.com,kevin Skoglund,�_____- _____,"PHP, MysQL, CMS",English,5h 51m,_____,9,______,https://www.lynda.com/PHP-tutorials/PHP-MySQL-Essential-Training-1-Basics/587674-2.html,_____ _____ php with mysql exxenstial trining  _____ __ __ ____ ____ ______ __ �php
PHP with MySQL Essential Training: 2 Build a CMS,lynda.com,kevin Skoglund,_____ - _____,"PHP, MySQL, CMS",English,3h 53m,_____,9,______,https://www.lynda.com/MySQL-tutorials/PHP-MySQL-Essential-Training-2-Build-CMS/587675-2.html,
PHP: Object-Oriented Programming,lynda.com,kevin Skoglund,_____- _____,"PHP, OOP",English,3h 53m,_____,,,https://www.lynda.com/PHP-tutorials/PHP-Object-Oriented-Programming/633867-2.html?srchtrk=index%3a1%0alinktypeid%3a2%0aq%3aphp+OOP%0apage%3a1%0as%3arelevance%0asa%3atrue%0aproducttypeid%3a2,_______ OOP ___ ___ _____ ______ ____ ___ _____ ________ ___ 
,,,,,,,,,,,